NAME,SYMBOL,PRICE,MARKETCAP,VOLUME,EXCHANGE,
Apple Inc.,AAPL,309.54,1.341648535552E12,36844977,NASDAQ,
Alphabet Inc.,GOOG,1356.13,9.25372973056E11,1603077,NASDAQ,
